Layer,Parameter,Weight
Layer 141,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 141,Parameter 1,[0.4031271]
Layer 141,Parameter 2,[[-0.68602014]]
Layer 141,Parameter 3,[-0.6740458]
Layer 142,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 142,Parameter 1,[0.4031271]
Layer 142,Parameter 2,[[-0.68602014]]
Layer 142,Parameter 3,[-0.6740458]
Layer 143,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 143,Parameter 1,[0.4031271]
Layer 143,Parameter 2,[[-0.68602014]]
Layer 143,Parameter 3,[-0.6740458]
Layer 144,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 144,Parameter 1,[0.4031271]
Layer 144,Parameter 2,[[-0.68602014]]
Layer 144,Parameter 3,[-0.6740458]
Layer 145,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 145,Parameter 1,[0.4031271]
Layer 145,Parameter 2,[[-0.68602014]]
Layer 145,Parameter 3,[-0.6740458]
Layer 146,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 146,Parameter 1,[0.4031271]
Layer 146,Parameter 2,[[-0.68602014]]
Layer 146,Parameter 3,[-0.6740458]
Layer 147,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 147,Parameter 1,[0.4031271]
Layer 147,Parameter 2,[[-0.68602014]]
Layer 147,Parameter 3,[-0.6740458]
Layer 148,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 148,Parameter 1,[0.4031271]
Layer 148,Parameter 2,[[-0.68602014]]
Layer 148,Parameter 3,[-0.6740458]
Layer 149,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 149,Parameter 1,[0.4031271]
Layer 149,Parameter 2,[[-0.68602014]]
Layer 149,Parameter 3,[-0.6740458]
Layer 150,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 150,Parameter 1,[0.4031271]
Layer 150,Parameter 2,[[-0.68602014]]
Layer 150,Parameter 3,[-0.6740458]
Layer 151,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 151,Parameter 1,[0.4031271]
Layer 151,Parameter 2,[[-0.68602014]]
Layer 151,Parameter 3,[-0.6740458]
Layer 152,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 152,Parameter 1,[0.4031271]
Layer 152,Parameter 2,[[-0.68602014]]
Layer 152,Parameter 3,[-0.6740458]
Layer 153,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 153,Parameter 1,[0.4031271]
Layer 153,Parameter 2,[[-0.68602014]]
Layer 153,Parameter 3,[-0.6740458]
Layer 154,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 154,Parameter 1,[0.4031271]
Layer 154,Parameter 2,[[-0.68602014]]
Layer 154,Parameter 3,[-0.6740458]
Layer 155,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 155,Parameter 1,[0.4031271]
Layer 155,Parameter 2,[[-0.68602014]]
Layer 155,Parameter 3,[-0.6740458]
Layer 156,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 156,Parameter 1,[0.4031271]
Layer 156,Parameter 2,[[-0.68602014]]
Layer 156,Parameter 3,[-0.6740458]
Layer 157,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 157,Parameter 1,[0.4031271]
Layer 157,Parameter 2,[[-0.68602014]]
Layer 157,Parameter 3,[-0.6740458]
Layer 158,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 158,Parameter 1,[0.4031271]
Layer 158,Parameter 2,[[-0.68602014]]
Layer 158,Parameter 3,[-0.6740458]
Layer 159,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 159,Parameter 1,[0.4031271]
Layer 159,Parameter 2,[[-0.68602014]]
Layer 159,Parameter 3,[-0.6740458]
Layer 160,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 160,Parameter 1,[0.4031271]
Layer 160,Parameter 2,[[-0.68602014]]
Layer 160,Parameter 3,[-0.6740458]
Layer 161,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 161,Parameter 1,[0.4031271]
Layer 161,Parameter 2,[[-0.68602014]]
Layer 161,Parameter 3,[-0.6740458]
Layer 162,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 162,Parameter 1,[0.4031271]
Layer 162,Parameter 2,[[-0.68602014]]
Layer 162,Parameter 3,[-0.6740458]
Layer 163,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 163,Parameter 1,[0.4031271]
Layer 163,Parameter 2,[[-0.68602014]]
Layer 163,Parameter 3,[-0.6740458]
Layer 164,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 164,Parameter 1,[0.4031271]
Layer 164,Parameter 2,[[-0.68602014]]
Layer 164,Parameter 3,[-0.6740458]
Layer 165,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 165,Parameter 1,[0.4031271]
Layer 165,Parameter 2,[[-0.68602014]]
Layer 165,Parameter 3,[-0.6740458]
Layer 166,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 166,Parameter 1,[0.4031271]
Layer 166,Parameter 2,[[-0.68602014]]
Layer 166,Parameter 3,[-0.6740458]
Layer 167,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 167,Parameter 1,[0.4031271]
Layer 167,Parameter 2,[[-0.68602014]]
Layer 167,Parameter 3,[-0.6740458]
Layer 168,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 168,Parameter 1,[0.4031271]
Layer 168,Parameter 2,[[-0.68602014]]
Layer 168,Parameter 3,[-0.6740458]
Layer 169,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 169,Parameter 1,[0.4031271]
Layer 169,Parameter 2,[[-0.68602014]]
Layer 169,Parameter 3,[-0.6740458]
Layer 170,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 170,Parameter 1,[0.4031271]
Layer 170,Parameter 2,[[-0.68602014]]
Layer 170,Parameter 3,[-0.6740458]
Layer 171,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 171,Parameter 1,[0.4031271]
Layer 171,Parameter 2,[[-0.68602014]]
Layer 171,Parameter 3,[-0.6740458]
Layer 172,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 172,Parameter 1,[0.4031271]
Layer 172,Parameter 2,[[-0.68602014]]
Layer 172,Parameter 3,[-0.6740458]
Layer 173,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 173,Parameter 1,[0.4031271]
Layer 173,Parameter 2,[[-0.68602014]]
Layer 173,Parameter 3,[-0.6740458]
Layer 174,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 174,Parameter 1,[0.4031271]
Layer 174,Parameter 2,[[-0.68602014]]
Layer 174,Parameter 3,[-0.6740458]
Layer 175,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 175,Parameter 1,[0.4031271]
Layer 175,Parameter 2,[[-0.68602014]]
Layer 175,Parameter 3,[-0.6740458]
Layer 176,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 176,Parameter 1,[0.4031271]
Layer 176,Parameter 2,[[-0.68602014]]
Layer 176,Parameter 3,[-0.6740458]
Layer 177,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 177,Parameter 1,[0.4031271]
Layer 177,Parameter 2,[[-0.68602014]]
Layer 177,Parameter 3,[-0.6740458]
Layer 178,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 178,Parameter 1,[0.4031271]
Layer 178,Parameter 2,[[-0.68602014]]
Layer 178,Parameter 3,[-0.6740458]
Layer 179,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 179,Parameter 1,[0.4031271]
Layer 179,Parameter 2,[[-0.68602014]]
Layer 179,Parameter 3,[-0.6740458]
Layer 180,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 180,Parameter 1,[0.4031271]
Layer 180,Parameter 2,[[-0.68602014]]
Layer 180,Parameter 3,[-0.6740458]
Layer 181,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 181,Parameter 1,[0.4031271]
Layer 181,Parameter 2,[[-0.68602014]]
Layer 181,Parameter 3,[-0.6740458]
Layer 182,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 182,Parameter 1,[0.4031271]
Layer 182,Parameter 2,[[-0.68602014]]
Layer 182,Parameter 3,[-0.6740458]
Layer 183,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 183,Parameter 1,[0.4031271]
Layer 183,Parameter 2,[[-0.68602014]]
Layer 183,Parameter 3,[-0.6740458]
Layer 184,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 184,Parameter 1,[0.4031271]
Layer 184,Parameter 2,[[-0.68602014]]
Layer 184,Parameter 3,[-0.6740458]
Layer 185,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 185,Parameter 1,[0.4031271]
Layer 185,Parameter 2,[[-0.68602014]]
Layer 185,Parameter 3,[-0.6740458]
Layer 186,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 186,Parameter 1,[0.4031271]
Layer 186,Parameter 2,[[-0.68602014]]
Layer 186,Parameter 3,[-0.6740458]
Layer 187,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 187,Parameter 1,[0.4031271]
Layer 187,Parameter 2,[[-0.68602014]]
Layer 187,Parameter 3,[-0.6740458]
Layer 188,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 188,Parameter 1,[0.4031271]
Layer 188,Parameter 2,[[-0.68602014]]
Layer 188,Parameter 3,[-0.6740458]
Layer 189,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 189,Parameter 1,[0.4031271]
Layer 189,Parameter 2,[[-0.68602014]]
Layer 189,Parameter 3,[-0.6740458]
Layer 190,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 190,Parameter 1,[0.4031271]
Layer 190,Parameter 2,[[-0.68602014]]
Layer 190,Parameter 3,[-0.6740458]
Layer 191,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 191,Parameter 1,[0.4031271]
Layer 191,Parameter 2,[[-0.68602014]]
Layer 191,Parameter 3,[-0.6740458]
Layer 192,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 192,Parameter 1,[0.4031271]
Layer 192,Parameter 2,[[-0.68602014]]
Layer 192,Parameter 3,[-0.6740458]
Layer 193,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 193,Parameter 1,[0.4031271]
Layer 193,Parameter 2,[[-0.68602014]]
Layer 193,Parameter 3,[-0.6740458]
Layer 194,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 194,Parameter 1,[0.4031271]
Layer 194,Parameter 2,[[-0.68602014]]
Layer 194,Parameter 3,[-0.6740458]
Layer 195,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 195,Parameter 1,[0.4031271]
Layer 195,Parameter 2,[[-0.68602014]]
Layer 195,Parameter 3,[-0.6740458]
Layer 196,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 196,Parameter 1,[0.4031271]
Layer 196,Parameter 2,[[-0.68602014]]
Layer 196,Parameter 3,[-0.6740458]
Layer 197,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 197,Parameter 1,[0.4031271]
Layer 197,Parameter 2,[[-0.68602014]]
Layer 197,Parameter 3,[-0.6740458]
Layer 198,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 198,Parameter 1,[0.4031271]
Layer 198,Parameter 2,[[-0.68602014]]
Layer 198,Parameter 3,[-0.6740458]
Layer 199,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 199,Parameter 1,[0.4031271]
Layer 199,Parameter 2,[[-0.68602014]]
Layer 199,Parameter 3,[-0.6740458]
Layer 200,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 200,Parameter 1,[0.4031271]
Layer 200,Parameter 2,[[-0.68602014]]
Layer 200,Parameter 3,[-0.6740458]
Layer 201,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 201,Parameter 1,[0.4031271]
Layer 201,Parameter 2,[[-0.68602014]]
Layer 201,Parameter 3,[-0.6740458]
Layer 202,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 202,Parameter 1,[0.4031271]
Layer 202,Parameter 2,[[-0.68602014]]
Layer 202,Parameter 3,[-0.6740458]
Layer 203,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 203,Parameter 1,[0.4031271]
Layer 203,Parameter 2,[[-0.68602014]]
Layer 203,Parameter 3,[-0.6740458]
Layer 204,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 204,Parameter 1,[0.4031271]
Layer 204,Parameter 2,[[-0.68602014]]
Layer 204,Parameter 3,[-0.6740458]
Layer 205,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 205,Parameter 1,[0.4031271]
Layer 205,Parameter 2,[[-0.68602014]]
Layer 205,Parameter 3,[-0.6740458]
Layer 206,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 206,Parameter 1,[0.4031271]
Layer 206,Parameter 2,[[-0.68602014]]
Layer 206,Parameter 3,[-0.6740458]
Layer 207,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 207,Parameter 1,[0.4031271]
Layer 207,Parameter 2,[[-0.68602014]]
Layer 207,Parameter 3,[-0.6740458]
Layer 208,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 208,Parameter 1,[0.4031271]
Layer 208,Parameter 2,[[-0.68602014]]
Layer 208,Parameter 3,[-0.6740458]
Layer 209,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 209,Parameter 1,[0.4031271]
Layer 209,Parameter 2,[[-0.68602014]]
Layer 209,Parameter 3,[-0.6740458]
Layer 210,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 210,Parameter 1,[0.4031271]
Layer 210,Parameter 2,[[-0.68602014]]
Layer 210,Parameter 3,[-0.6740458]
Layer 211,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 211,Parameter 1,[0.4031271]
Layer 211,Parameter 2,[[-0.68602014]]
Layer 211,Parameter 3,[-0.6740458]
Layer 212,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 212,Parameter 1,[0.4031271]
Layer 212,Parameter 2,[[-0.68602014]]
Layer 212,Parameter 3,[-0.6740458]
Layer 213,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 213,Parameter 1,[0.4031271]
Layer 213,Parameter 2,[[-0.68602014]]
Layer 213,Parameter 3,[-0.6740458]
Layer 214,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 214,Parameter 1,[0.4031271]
Layer 214,Parameter 2,[[-0.68602014]]
Layer 214,Parameter 3,[-0.6740458]
Layer 215,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 215,Parameter 1,[0.4031271]
Layer 215,Parameter 2,[[-0.68602014]]
Layer 215,Parameter 3,[-0.6740458]
Layer 216,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 216,Parameter 1,[0.4031271]
Layer 216,Parameter 2,[[-0.68602014]]
Layer 216,Parameter 3,[-0.6740458]
Layer 217,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 217,Parameter 1,[0.4031271]
Layer 217,Parameter 2,[[-0.68602014]]
Layer 217,Parameter 3,[-0.6740458]
Layer 218,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 218,Parameter 1,[0.4031271]
Layer 218,Parameter 2,[[-0.68602014]]
Layer 218,Parameter 3,[-0.6740458]
Layer 219,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 219,Parameter 1,[0.4031271]
Layer 219,Parameter 2,[[-0.68602014]]
Layer 219,Parameter 3,[-0.6740458]
Layer 220,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 220,Parameter 1,[0.4031271]
Layer 220,Parameter 2,[[-0.68602014]]
Layer 220,Parameter 3,[-0.6740458]
Layer 221,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 221,Parameter 1,[0.4031271]
Layer 221,Parameter 2,[[-0.68602014]]
Layer 221,Parameter 3,[-0.6740458]
Layer 222,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 222,Parameter 1,[0.4031271]
Layer 222,Parameter 2,[[-0.68602014]]
Layer 222,Parameter 3,[-0.6740458]
Layer 223,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 223,Parameter 1,[0.4031271]
Layer 223,Parameter 2,[[-0.68602014]]
Layer 223,Parameter 3,[-0.6740458]
Layer 224,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 224,Parameter 1,[0.4031271]
Layer 224,Parameter 2,[[-0.68602014]]
Layer 224,Parameter 3,[-0.6740458]
Layer 225,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 225,Parameter 1,[0.4031271]
Layer 225,Parameter 2,[[-0.68602014]]
Layer 225,Parameter 3,[-0.6740458]
Layer 226,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 226,Parameter 1,[0.4031271]
Layer 226,Parameter 2,[[-0.68602014]]
Layer 226,Parameter 3,[-0.6740458]
Layer 227,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 227,Parameter 1,[0.4031271]
Layer 227,Parameter 2,[[-0.68602014]]
Layer 227,Parameter 3,[-0.6740458]
Layer 228,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 228,Parameter 1,[0.4031271]
Layer 228,Parameter 2,[[-0.68602014]]
Layer 228,Parameter 3,[-0.6740458]
Layer 229,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 229,Parameter 1,[0.4031271]
Layer 229,Parameter 2,[[-0.68602014]]
Layer 229,Parameter 3,[-0.6740458]
Layer 230,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 230,Parameter 1,[0.4031271]
Layer 230,Parameter 2,[[-0.68602014]]
Layer 230,Parameter 3,[-0.6740458]
Layer 231,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 231,Parameter 1,[0.4031271]
Layer 231,Parameter 2,[[-0.68602014]]
Layer 231,Parameter 3,[-0.6740458]
Layer 232,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 232,Parameter 1,[0.4031271]
Layer 232,Parameter 2,[[-0.68602014]]
Layer 232,Parameter 3,[-0.6740458]
Layer 233,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 233,Parameter 1,[0.4031271]
Layer 233,Parameter 2,[[-0.68602014]]
Layer 233,Parameter 3,[-0.6740458]
Layer 234,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 234,Parameter 1,[0.4031271]
Layer 234,Parameter 2,[[-0.68602014]]
Layer 234,Parameter 3,[-0.6740458]
Layer 235,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 235,Parameter 1,[0.4031271]
Layer 235,Parameter 2,[[-0.68602014]]
Layer 235,Parameter 3,[-0.6740458]
Layer 236,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 236,Parameter 1,[0.4031271]
Layer 236,Parameter 2,[[-0.68602014]]
Layer 236,Parameter 3,[-0.6740458]
Layer 237,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 237,Parameter 1,[0.4031271]
Layer 237,Parameter 2,[[-0.68602014]]
Layer 237,Parameter 3,[-0.6740458]
Layer 238,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 238,Parameter 1,[0.4031271]
Layer 238,Parameter 2,[[-0.68602014]]
Layer 238,Parameter 3,[-0.6740458]
Layer 239,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 239,Parameter 1,[0.4031271]
Layer 239,Parameter 2,[[-0.68602014]]
Layer 239,Parameter 3,[-0.6740458]
Layer 240,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 240,Parameter 1,[0.4031271]
Layer 240,Parameter 2,[[-0.68602014]]
Layer 240,Parameter 3,[-0.6740458]
Layer 241,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 241,Parameter 1,[0.4031271]
Layer 241,Parameter 2,[[-0.68602014]]
Layer 241,Parameter 3,[-0.6740458]
Layer 242,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 242,Parameter 1,[0.4031271]
Layer 242,Parameter 2,[[-0.68602014]]
Layer 242,Parameter 3,[-0.6740458]
Layer 243,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 243,Parameter 1,[0.4031271]
Layer 243,Parameter 2,[[-0.68602014]]
Layer 243,Parameter 3,[-0.6740458]
Layer 244,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 244,Parameter 1,[0.4031271]
Layer 244,Parameter 2,[[-0.68602014]]
Layer 244,Parameter 3,[-0.6740458]
Layer 245,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 245,Parameter 1,[0.4031271]
Layer 245,Parameter 2,[[-0.68602014]]
Layer 245,Parameter 3,[-0.6740458]
Layer 246,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 246,Parameter 1,[0.4031271]
Layer 246,Parameter 2,[[-0.68602014]]
Layer 246,Parameter 3,[-0.6740458]
Layer 247,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 247,Parameter 1,[0.4031271]
Layer 247,Parameter 2,[[-0.68602014]]
Layer 247,Parameter 3,[-0.6740458]
Layer 248,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 248,Parameter 1,[0.4031271]
Layer 248,Parameter 2,[[-0.68602014]]
Layer 248,Parameter 3,[-0.6740458]
Layer 249,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 249,Parameter 1,[0.4031271]
Layer 249,Parameter 2,[[-0.68602014]]
Layer 249,Parameter 3,[-0.6740458]
Layer 250,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 250,Parameter 1,[0.4031271]
Layer 250,Parameter 2,[[-0.68602014]]
Layer 250,Parameter 3,[-0.6740458]
Layer 251,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 251,Parameter 1,[0.4031271]
Layer 251,Parameter 2,[[-0.68602014]]
Layer 251,Parameter 3,[-0.6740458]
Layer 252,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 252,Parameter 1,[0.4031271]
Layer 252,Parameter 2,[[-0.68602014]]
Layer 252,Parameter 3,[-0.6740458]
Layer 253,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 253,Parameter 1,[0.4031271]
Layer 253,Parameter 2,[[-0.68602014]]
Layer 253,Parameter 3,[-0.6740458]
Layer 254,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 254,Parameter 1,[0.4031271]
Layer 254,Parameter 2,[[-0.68602014]]
Layer 254,Parameter 3,[-0.6740458]
Layer 255,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 255,Parameter 1,[0.4031271]
Layer 255,Parameter 2,[[-0.68602014]]
Layer 255,Parameter 3,[-0.6740458]
Layer 256,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 256,Parameter 1,[0.4031271]
Layer 256,Parameter 2,[[-0.68602014]]
Layer 256,Parameter 3,[-0.6740458]
Layer 257,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 257,Parameter 1,[0.4031271]
Layer 257,Parameter 2,[[-0.68602014]]
Layer 257,Parameter 3,[-0.6740458]
Layer 258,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 258,Parameter 1,[0.4031271]
Layer 258,Parameter 2,[[-0.68602014]]
Layer 258,Parameter 3,[-0.6740458]
Layer 259,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 259,Parameter 1,[0.4031271]
Layer 259,Parameter 2,[[-0.68602014]]
Layer 259,Parameter 3,[-0.6740458]
Layer 260,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 260,Parameter 1,[0.4031271]
Layer 260,Parameter 2,[[-0.68602014]]
Layer 260,Parameter 3,[-0.6740458]
Layer 261,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 261,Parameter 1,[0.4031271]
Layer 261,Parameter 2,[[-0.68602014]]
Layer 261,Parameter 3,[-0.6740458]
Layer 262,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 262,Parameter 1,[0.4031271]
Layer 262,Parameter 2,[[-0.68602014]]
Layer 262,Parameter 3,[-0.6740458]
Layer 263,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 263,Parameter 1,[0.4031271]
Layer 263,Parameter 2,[[-0.68602014]]
Layer 263,Parameter 3,[-0.6740458]
Layer 264,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 264,Parameter 1,[0.4031271]
Layer 264,Parameter 2,[[-0.68602014]]
Layer 264,Parameter 3,[-0.6740458]
Layer 265,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 265,Parameter 1,[0.4031271]
Layer 265,Parameter 2,[[-0.68602014]]
Layer 265,Parameter 3,[-0.6740458]
Layer 266,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 266,Parameter 1,[0.4031271]
Layer 266,Parameter 2,[[-0.68602014]]
Layer 266,Parameter 3,[-0.6740458]
Layer 267,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 267,Parameter 1,[0.4031271]
Layer 267,Parameter 2,[[-0.68602014]]
Layer 267,Parameter 3,[-0.6740458]
Layer 268,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 268,Parameter 1,[0.4031271]
Layer 268,Parameter 2,[[-0.68602014]]
Layer 268,Parameter 3,[-0.6740458]
Layer 269,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 269,Parameter 1,[0.4031271]
Layer 269,Parameter 2,[[-0.68602014]]
Layer 269,Parameter 3,[-0.6740458]
Layer 270,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 270,Parameter 1,[0.4031271]
Layer 270,Parameter 2,[[-0.68602014]]
Layer 270,Parameter 3,[-0.6740458]
Layer 271,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 271,Parameter 1,[0.4031271]
Layer 271,Parameter 2,[[-0.68602014]]
Layer 271,Parameter 3,[-0.6740458]
Layer 272,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 272,Parameter 1,[0.4031271]
Layer 272,Parameter 2,[[-0.68602014]]
Layer 272,Parameter 3,[-0.6740458]
Layer 273,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 273,Parameter 1,[0.4031271]
Layer 273,Parameter 2,[[-0.68602014]]
Layer 273,Parameter 3,[-0.6740458]
Layer 274,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 274,Parameter 1,[0.4031271]
Layer 274,Parameter 2,[[-0.68602014]]
Layer 274,Parameter 3,[-0.6740458]
Layer 275,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 275,Parameter 1,[0.4031271]
Layer 275,Parameter 2,[[-0.68602014]]
Layer 275,Parameter 3,[-0.6740458]
Layer 276,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 276,Parameter 1,[0.4031271]
Layer 276,Parameter 2,[[-0.68602014]]
Layer 276,Parameter 3,[-0.6740458]
Layer 277,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 277,Parameter 1,[0.4031271]
Layer 277,Parameter 2,[[-0.68602014]]
Layer 277,Parameter 3,[-0.6740458]
Layer 278,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 278,Parameter 1,[0.4031271]
Layer 278,Parameter 2,[[-0.68602014]]
Layer 278,Parameter 3,[-0.6740458]
Layer 279,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 279,Parameter 1,[0.4031271]
Layer 279,Parameter 2,[[-0.68602014]]
Layer 279,Parameter 3,[-0.6740458]
Layer 280,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 280,Parameter 1,[0.4031271]
Layer 280,Parameter 2,[[-0.68602014]]
Layer 280,Parameter 3,[-0.6740458]
Layer 281,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 281,Parameter 1,[0.4031271]
Layer 281,Parameter 2,[[-0.68602014]]
Layer 281,Parameter 3,[-0.6740458]
